カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
公共・自治体,長岡市,まちの魅力×AI：長岡ハッカソン,長岡市が「まちの魅力再発見」をテーマに、参加者がチームを組みAIアプリ開発に挑戦する「まちの魅力×AI：長岡ハッカソン」を開催する。2日間連続で行われ、生成AIを使ったアプリ作成方法を学び、アイデアを形にする短期集中型イベント。,既存事業の価値向上 業務プロセス改善,city.nagaoka.niigata.jp/shi…y.html (https://www.city.nagaoka.niigata.jp/shisei/cate01/executive-dx/rediscovery.html),茨 茨木雄太
テクノロジー AI,SCSK株式会社,AIと「基幹データ」が拓く経営の未来 | PROACTIVE | SCSK,"SCSKのERP「PROACTIVE」は、Googleの生成AI「Gemini」などを活用し、企業の経営高度化を目指している。AIエージェントによるコア業務への本格導入が今年のトレンドであり、企業内に点在する暗黙知をAIで形式知化し、業務効率と提供価値を飛躍的に高める「知の開放」を推進。AIの進化においては「責任あるAI」「進化したセキュリティ」「業種特化」の3点が重要とされ、PROACTIVEの業務ノウハウとデータがその鍵となる。基幹データを「長期記憶」としてAIに学習させることで、ハイパーパーソナライゼーションを実現し、経営判断の高度化や知の継承を支援する。SIerの役割は、AIエージェントの構築と連携デザインにあり、SCSKはGoogle
                                                                Cloudとのパートナーシップのもと、「グレーターPROACTIVE経済圏」の構築と「スピード」への挑戦を目指す。",業務プロセス改善 既存事業の価値向上,proactive.jp/res…ail02/ (https://proactive.jp/resources/feature/detail02/),茨 茨木雄太
公共・自治体,デジタル庁,デジタル庁職員による生成AIの利用実績に関する資料を掲載しました,デジタル庁は、人口減少・少子高齢化による担い手不足に対応するため、職員向けに生成AI利用環境「源内」を内製開発し、国会答弁検索や法制度調査支援など行政実務に活用している。利用開始から3ヶ月が経過したことを受け、職員による生成AIの利用実績を公表した。今後も率先してAI活用を推進し、政府および地方公共団体への検証実績と経験の共有、官民連携によるAIエコシステムの形成を目指す。,個人の生産性向上 業務プロセス改善,digital.go.jp/new…854a74 (https://www.digital.go.jp/news/08ded405-ca03-48c7-9b92-6b8878854a74),茨 茨木雄太
金融・保険 AI,株式会社SBI証券,"生成AIを活用した投資情報サービス「朝刊・夕刊」拡充のお知らせ～米株 ... -
                                                                SBIホールディングス","SBI証券とAlpacaTechは、生成AI（Google
                                                                Geminiなど）を活用した投資情報サービス「朝刊・夕刊」を拡充。米国株式の投資情報を追加し、日米の注目銘柄や市場動向を簡潔に要約して提供する。これにより、投資家は多忙な中でも効率的にマーケット情報を確認し、投資戦略の検討に役立てることが可能となる。",既存事業の価値向上 業務プロセス改善,sbigroup.co.jp/new…8.html (https://www.sbigroup.co.jp/news/pr/2025/0822_15678.html),K kosuke takaki
AI 通信・ネットワーク テクノロジー,LINEヤフー株式会社,"AIのキャラクターと対話できる新サービス「AI
                                                                Friends」の提供を開始｜LINEヤフー株式会社","LINEヤフーがコミュニケーションアプリ「LINE」において、AIキャラクターと対話できる新サービス「AI
                                                                Friends」の提供を開始した。本サービスでは、ユーザーはAIが生成したキャラクターとの会話や、自身でオリジナルのAIキャラクターを生成して楽しむことができる。LINEヤフーは全サービスのAIエージェント化を目指し、生成AIの活用を積極的に推進している。",新規事業の創出 既存事業の価値向上,lycorp.co.jp/ja/…18455/ (https://www.lycorp.co.jp/ja/news/release/018455/),S saeki kazuhiro
製造 AI,シャープ株式会社,"議事録作成支援ソリューション「eAssistant Minutes」に新機能を追加｜ニュースリリース -
                                                                シャープ","シャープは、独自のエッジAI技術「CE-LLM」を活用した議事録作成支援ソリューション「eAssistant
                                                                Minutes」に、録音データから議事録を作成できる新機能を追加しました。これにより、外部ネットワークに接続せずに録音データから議事録作成が可能となり、文字起こし速度と音声認識精度、要約の正確性・表現力が向上しました。",業務プロセス改善 個人の生産性向上 既存事業の価値向上,corporate.jp.sharp/new…a.html (https://corporate.jp.sharp/news/250821-a.html),茨 茨木雄太
AI テクノロジー,Sansan株式会社,"AI契約データベース「Contract One」が新機能「企業別AI契約サマリー」を実装～契約状況をAIが
                                                                ...","Sansan株式会社は、AI契約データベース「Contract
                                                                One」に新機能「企業別AI契約サマリー」を実装すると発表しました。本機能により、取引先ごとの契約状況をAIが自動で要約し、情報収集の効率化と意思決定の質・スピード向上を図ります。これにより、分散した契約情報を一元的に把握し、企業全体の取引最適化や経営判断を迅速に行うことが可能になります。",業務プロセス改善 既存事業の価値向上,jp.corp-sansan.com/new…2.html (https://jp.corp-sansan.com/news/2025/0820_02.html),K kosuke takaki
交通・物流,西日本旅客鉄道株式会社,"生成AI技術を活用した画像解析ソリューションの開発～VLM×mitococaによる新たな社会課題解決
                                                                ...",西日本旅客鉄道株式会社は、生成AI技術（VLM）を活用した画像解析ソリューションの開発に着手しました。これは、既存の画像解析AI「mitococa」の未学習対象の検出や状況判断の難しさという課題を解決するために行われます。本ソリューションは、VLMと「mitococa」を連携させ、必要な場面のみを抽出することで低負荷かつ高度な解析を可能にし、直感的なUIを提供します。想定されるユースケースとして、建設工事等の沿線作業箇所の自動検出による安全性向上・業務効率化、および来店者属性の推定と可視化による販促施策の高度化・顧客満足度向上を挙げています。今後は社内外での実証を重ね、社会課題解決に貢献するソリューションの実装を進めるとしています。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000001604.000095753.html),茨 茨木雄太
サービス業,株式会社ピアズ,【株式会社ピアズ】生成AIリスキリング支援サービス「ゼロからAI for スゴ得」を提供開始,"株式会社ピアズはNTTドコモとの業務提携により、スマートフォン向けサービス「スゴ得コンテンツⓇ」において、生成AIを活用した個人向けリスキリング支援サービス『ゼロからAI
                                                                for
                                                                スゴ得』を2025年8月より提供開始します。本サービスは、AI初心者やシニア層を対象に、スマートフォンを通じて生成AIの使い方や活用法を学べるショート動画・講座・アプリを組み合わせた学習コンテンツです。",個人の生産性向上 新規事業の創出,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000133.000034339.html),茨 茨木雄太
公共・自治体,理化学研究所,AIとロボットが実験の「裏方作業」もする未来 - 理化学研究所,理化学研究所、筑波大学などの共同研究グループは、細胞の恒常性維持機能から着想を得て、実験室全体を自ら管理・維持する「Self-maintainability（SeM）」という新たな概念と、AIとロボットを活用して実験の「裏方作業」（ケア）を完全自動化する「SeM対応ラボ」の設計思想を提案しました。これにより、研究者は煩雑な管理作業から解放され、発想と解析に専念できる環境が整い、創薬や再生医療など多様な分野での研究加速が期待されます。,業務プロセス改善 既存事業の価値向上,riken.jp/pre…x.html (https://www.riken.jp/press/2025/20250819_1/index.html),S saeki kazuhiro
